id,title,budget,revenue,runtime,pop_actors,vote_average,vote_count,pop_directors,pop_producer
73247,Heartbeeps,10000000,2154696,79.0,38.552,3.6,14,2.246,0.98
73499,The Double,17000000,3696232,98.0,79.919,5.8,508,4.618,5.260999999999999
335679,The World Underground: China,6000,6000,97.0,0.0,0.0,0,0.6,0.0
73567,Killer Joe,10000000,4633668,102.0,95.59,6.5,1070,1.472,2.662
73571,Indigo,500000,1190000,89.0,2.448,0.0,0,0.98,0.0
73575,Sparrows,463455,966878,84.0,13.719000000000001,7.3,25,4.225,7.112
597890,Voyagers,20000000,4284903,108.0,66.296,6.2,434,2.574,6.191000000000001
335778,Risen,20000000,46069568,107.0,63.492,6.1,649,2.64,2.816
335777,The Nut Job 2: Nutty by Nature,40000000,65146020,91.0,74.46,5.9,311,0.84,0.608
335788,Renegades,66190000,2602149,105.0,66.335,5.7,263,10.784,11.459
335791,When the Bough Breaks,10000000,30658387,97.0,54.53600000000001,5.8,317,1.256,0.6
335796,Ouija: Origin of Evil,9000000,81705746,99.0,67.689,6.1,1996,10.811,26.487
335797,Sing,75000000,634151679,108.0,130.9,7.1,6586,8.305,7.929
860111,The Hollow Tree,80000,80,28.0,3.605,0.0,0,0.6,0.6
73723,The Lorax,70000000,348840316,86.0,84.69800000000001,6.5,2718,9.722,2.762
335983,Venom,116000000,855013954,112.0,90.24000000000001,6.9,12853,9.932,18.402
335984,Blade Runner 2049,150000000,259239658,164.0,135.183,7.5,10408,22.974,20.612000000000002
335988,Transformers: The Last Knight,217000000,605425157,154.0,102.95700000000001,6.0,4843,8.288,50.104
204922,Before I Go to Sleep,22000000,15447154,92.0,71.428,6.5,1639,5.414,3.2119999999999997
336000,The Glass Castle,9000000,22088533,127.0,92.587,7.1,604,3.85,2.0
336004,Heist,8900000,4100000,93.0,100.20100000000001,6.1,755,2.844,10.674999999999999
336011,White Girl,700000,200242,88.0,57.98,5.7,377,0.994,1.025
73873,Albert Nobbs,8000000,5634828,113.0,67.497,6.3,368,1.29,7.6209999999999996
73937,The Big Year,41000000,8179416,100.0,125.942,6.0,608,1.96,2.691
73939,Pariah,500000,769552,86.0,21.071999999999996,6.9,104,1.651,0.6
598246,Blood Quantum,1000000,1000000,22.0,0.0,0.0,0,0.6,0.0
73963,Creature,3000000,533235,95.0,55.016,5.4,65,0.6,2.252
73969,My Best Girl,483103,1027757,80.0,15.453,7.4,12,0.6,7.112
73981,Ayurveda: Art of Being,300000,2074000,101.0,0.0,5.3,6,1.62,0.0
205133,Pickled Pink,2436635,2436635,6.0,4.289,6.2,6,8.98,0.0
205220,Philomena,12000000,100129872,98.0,40.397999999999996,7.4,1312,4.885,9.128
74180,Romeo & Juliet: Sealed with a Kiss,2000000,462107,76.0,4.021,5.8,6,0.983,0.0
74254,The House of Usher,130000,1677,80.0,34.505,4.7,15,0.695,0.0
205463,One Minute to Zero,2181000,1600000,105.0,26.349,6.4,11,1.97,1.97
467660,Unsane,1500000,14293601,98.0,56.027,6.2,1228,7.037,0.6
74465,We Bought a Zoo,50000000,120081841,124.0,127.42099999999999,6.7,2192,1.749,5.921
205584,Gods of Egypt,140000000,150680864,127.0,93.206,5.6,3371,2.219,4.436
205587,The Judge,50000000,83719388,141.0,124.05199999999999,7.3,3348,2.604,13.432999999999998
205596,The Imitation Game,14000000,233555708,113.0,119.27799999999999,8.0,14296,5.59,2.376
205601,Belle,10900000,16505460,105.0,69.749,7.2,561,1.4,0.652
74534,The Best Exotic Marigold Hotel,10000000,136836156,124.0,76.30399999999999,6.9,1082,7.375,3.854
467804,Lines of Glory,1,1,21.0,3.334,10.0,1,1.294,1.294
467806,180 Seconds,1,1,4.0,2.4,10.0,1,0.6,0.6
467816,Seeking Nirvana,20,20,120.0,3.7800000000000002,9.0,1,0.6,1.8519999999999999
74643,The Artist,15000000,133432856,100.0,72.48700000000001,7.4,2624,2.75,21.694
861121,The Ring,7,8,4.0,0.0,10.0,2,0.6,1.2
467909,In the Heights,55000000,43000000,143.0,49.574,7.3,444,5.32,11.11
